id,Date,number of bedrooms,number of bathrooms,living area,lot area,number of floors,waterfront present,number of views,condition of the house,grade of the house,Area of the house(excluding basement),Area of the basement,Built Year,Renovation Year,Postal Code,Lattitude,Longitude,living_area_renov,lot_area_renov,Number of schools nearby,Distance from the airport,Price
6762810145,42491,5,2.5,1825,4525,2.0,0,4,5,10,1685,140,1921,0,110001,28.5798,77.2946,1440,2700,2,58,28560000
6762810635,42491,4,2.5,1460,2000,1.5,0,0,5,8,955,505,1909,0,110002,28.8563,77.0232,1235,2000,2,51,16800000
6762810998,42491,5,2.75,1455,4740,1.5,0,0,3,8,1455,0,1939,0,110002,28.7514,77.0347,1470,3300,1,53,14400000
6762812605,42491,4,2.5,1655,21499,2.0,0,0,3,9,1655,0,2001,0,110003,28.6874,77.2944,1675,21423,3,76,10056000
6762812919,42491,3,2.0,1355,2250,1.5,0,0,4,8,940,415,1929,0,110005,28.4749,77.0822,1030,2250,1,51,9660000
6762813105,42491,3,2.5,1300,2375,1.0,0,0,4,9,850,450,1951,0,110006,28.4749,77.1081,1190,2375,1,67,9480000
6762813157,42491,5,3.25,1830,5997,2.0,0,2,3,10,1830,0,2006,0,110007,28.4279,77.0164,1660,5620,3,72,9420000
6762813599,42491,3,1.75,1120,5289,2.0,0,0,5,8,775,345,1923,0,110005,28.8158,76.9883,785,5289,3,71,9000000
6762813600,42491,3,2.5,1195,3275,1.0,0,2,4,8,720,475,1955,0,110009,28.6885,77.178,1005,3275,1,73,9000000
6762814461,42491,4,2.25,1100,5625,1.5,0,0,5,7,650,450,1920,0,110010,28.7399,76.9099,1160,5407,2,53,8376000
6762814787,42491,5,2.5,1410,33759,2.0,0,0,3,8,1410,0,1979,0,110011,28.4099,77.2896,1410,24175,2,51,8100000
6762815225,42491,4,2.0,910,2500,1.5,0,1,3,7,820,90,1945,0,110005,28.8656,77.2396,1030,2500,2,69,7800000
6762815461,42491,4,2.0,760,3100,1.5,0,0,3,7,760,0,1945,0,110005,28.7996,76.9454,955,3100,3,80,7680000
6762815654,42491,4,2.75,1355,18638,2.0,0,0,3,9,1355,0,2000,0,110012,28.5019,77.197,1195,19649,1,74,7560000
6762815737,42491,3,2.25,875,786,2.5,0,0,3,9,735,140,2005,0,110013,28.4873,77.1513,1205,1525,3,51,7512000
6762815748,42491,4,2.5,1410,4204,2.0,0,0,3,9,1410,0,2014,0,110015,28.488,76.9423,650,4204,3,55,7500000
6762815749,42491,4,3.25,1365,27007,1.0,0,0,3,9,780,585,2007,0,110016,28.546,76.9866,1365,55637,1,70,7500000
6762815986,42491,3,1.75,1180,3645,1.0,0,0,4,8,680,500,1948,0,110017,28.6519,77.0545,930,2749,2,75,7380000
6762816059,42491,4,2.5,1365,6130,2.0,0,0,3,9,1365,0,1991,0,110018,28.6073,77.1996,1365,5436,2,70,7350000
6762816236,42491,3,2.5,1620,16575,2.0,0,2,3,10,1620,0,1995,0,110019,28.5398,77.1694,2025,12483,1,71,7248000
6762816633,42491,3,1.75,1165,7446,1.0,0,0,3,8,985,180,1980,0,110020,28.6937,77.1161,1285,7108,1,60,7062000
6762817449,42491,4,2.5,1655,3250,2.0,0,0,3,8,1655,0,2012,0,110007,28.467,77.2342,1190,2500,2,80,6660000
6762817570,42491,4,2.5,970,5250,1.0,0,0,4,7,570,400,1976,0,110003,28.5402,77.229,1100,5250,1,58,6600000
6762817571,42491,3,1.75,1455,17600,1.5,0,0,3,8,1455,0,1979,0,110021,28.5759,77.1589,1295,18750,3,50,6600000
6762819227,42491,4,2.5,1430,1672,2.0,0,0,3,8,1095,335,2004,0,110022,28.6189,77.2435,1430,1798,3,73,5999400
6762819342,42491,4,1.75,800,3190,1.0,0,0,3,8,565,235,1959,0,110023,28.7769,77.0171,545,3190,3,50,5940000
6762819448,42491,4,1.75,1095,62726,1.0,0,2,3,9,1095,0,1968,0,110024,28.4958,77.2906,1500,62508,3,64,5898000
6762819463,42491,2,1.0,440,3190,1.0,0,0,3,7,440,0,1938,1994,110005,28.6468,77.1575,670,3190,3,66,5880000
6762819732,42491,4,2.5,1355,17934,2.0,0,0,3,9,1355,0,1989,0,110025,28.6844,77.2612,1390,18112,3,71,5784000
6762820114,42491,5,2.5,1105,4827,1.0,0,0,3,8,730,375,1976,0,110018,28.4223,77.1231,1040,4316,3,79,5640000
6762820382,42491,3,1.75,855,3660,1.0,0,0,3,7,855,0,1948,0,110015,28.6916,76.9592,1130,4419,1,72,5556000
6762820510,42491,3,2.5,1340,2769,2.0,0,0,3,8,1340,0,2013,0,110026,28.4819,77.1212,1495,3018,2,74,5519880
6762820718,42491,3,2.5,1215,44213,1.0,0,0,4,7,785,430,1985,0,110026,28.4312,77.0356,780,28413,3,78,5430000
6762821047,42491,3,2.5,635,590,3.0,0,0,3,8,635,0,2001,0,110027,28.8555,77.1987,660,590,3,61,5348400
6762821205,42491,4,2.25,1080,4059,1.0,0,0,3,8,540,540,1966,0,110028,28.8635,77.0879,925,4500,2,52,5280000
6762821206,42491,2,1.0,400,2425,1.0,0,0,4,7,400,0,1944,0,110027,28.788,77.2681,575,2182,2,60,5280000
6762821318,42491,3,2.5,885,1437,2.0,0,0,3,8,885,0,1990,0,110009,28.5462,77.189,885,1916,3,68,5279400
6762821390,42491,3,2.25,985,17550,2.0,0,0,4,9,985,0,1977,0,110012,28.4469,77.1923,1170,17550,2,70,5250000
6762821424,42491,3,2.5,885,617,3.0,0,0,3,8,800,85,2007,0,110029,28.7284,76.9586,840,601,3,52,5233320
